//2020타자
//선수	이름	장타율	OBP	OPS

김재환	두산	0.494	0.373	0.867
서건창	키움	0.386	0.39	0.776
로맥	SK	0.546	0.399	0.945
홍창기	LG	0.417	0.411	0.828
터커	KIA	0.557	0.398	0.955
김하성	키움	0.523	0.397	0.92
최정	SK	0.538	0.392	0.93
박석민	NC	0.466	0.436	0.902
최형우	KIA	0.59	0.433	1.023
배정대	KT	0.42	0.372	0.792
강백호	KT	0.544	0.411	0.955
박준태	키움	0.331	0.389	0.72
로하스	KT	0.68	0.417	1.097
조용호	KT	0.333	0.392	0.725
나지완	KIA	0.444	0.392	0.836
김현수	LG	0.523	0.397	0.92
오재일	두산	0.482	0.39	0.872
손아섭	롯데	0.493	0.415	0.908
이정후	키움	0.524	0.397	0.921
이용규	한화	0.337	0.381	0.718
페르난데스	두산	0.497	0.404	0.901
권희동	NC	0.41	0.379	0.789
박병호	키움	0.45	0.352	0.802
한동희	롯데	0.436	0.361	0.797
김준태	롯데	0.327	0.344	0.671
정훈	롯데	0.427	0.382	0.809
정수빈	두산	0.396	0.368	0.764
라모스	LG	0.592	0.362	0.954
김상수	삼성	0.401	0.397	0.798
마차도	롯데	0.422	0.356	0.778
유민상	KIA	0.366	0.341	0.707
이대호	롯데	0.452	0.354	0.806
전준우	롯데	0.482	0.347	0.829
구자욱	삼성	0.478	0.385	0.863
이명기	NC	0.369	0.374	0.743
나성범	NC	0.596	0.39	0.986
노진혁	NC	0.48	0.356	0.836
이원석	삼성	0.407	0.341	0.748
박경수	KT	0.454	0.381	0.835
최주환	두산	0.473	0.366	0.839
황재균	KT	0.512	0.37	0.882
김혜성	키움	0.399	0.345	0.744
알테어	NC	0.541	0.352	0.893
양의지	NC	0.603	0.4	1.003
김재호	두산	0.346	0.362	0.708
오지환	LG	0.461	0.362	0.823
박건우	두산	0.472	0.369	0.841
정은원	한화	0.335	0.362	0.697
허정협	키움	0.401	0.353	0.754
유한준	KT	0.409	0.347	0.756
김선빈	KIA	0.403	0.406	0.809
박해민	삼성	0.415	0.345	0.76
박동원	키움	0.426	0.338	0.764
최지훈	SK	0.326	0.318	0.644
