알칸타라	두산	8.24	1.36	6.07
김동혁	키움	6.23	1.04	6
구창모	NC	9.84	1.74	5.67
김진성	NC	10.65	1.9	5.6
박준표	KIA	7.66	1.39	5.5
브룩스	KIA	7.73	1.43	5.42
요키시	키움	6.48	1.41	4.6
여건욱	LG	5.86	1.3	4.5
정우람	한화	8.78	1.99	4.42
플렉센	두산	10.18	2.31	4.4
스트레일리	롯데	9.48	2.36	4.02
강지광	SK	9.82	2.45	4
윤규진	한화	9.82	2.45	4
김영규	NC	7.32	1.86	3.93
김재윤	KT	8.6	2.23	3.87
박진형	롯데	10.55	2.74	3.85
조상우	키움	10.6	2.98	3.56
최동환	LG	6.63	1.89	3.5
김건국	롯데	8.81	2.56	3.44
켈리	LG	6.96	2.08	3.35
권오준	삼성	5.63	1.69	3.33
우규민	삼성	5.63	1.69	3.33
임기영	KIA	7.47	2.33	3.21
강재민	한화	10.47	3.31	3.17
이승헌	롯데	8.35	2.7	3.09
박신지	두산	9	3	3
정용운	LG	16.2	5.4	3
류진욱	NC	9	3	3
한현희	키움	7.23	2.45	2.95
문경찬	NC	7.62	2.6	2.93
루친스키	NC	8.21	2.8	2.93
전상현	KIA	12.08	4.15	2.91
이태양	SK	7.23	2.57	2.81
윌슨	LG	6.78	2.43	2.79
김명신	두산	6.46	2.35	2.75
정찬헌	LG	6.93	2.53	2.74
홍건희	두산	7.86	2.88	2.73
백정현	삼성	7.02	2.59	2.71
최원준	두산	6.88	2.56	2.69
고우석	LG	11.02	4.1	2.68
함덕주	두산	8.95	3.42	2.62
문승원	SK	7.23	2.78	2.6
박희수	SK	9.49	3.65	2.6
오승환	삼성	7.36	2.83	2.6
박상원	한화	8.07	3.1	2.6
임현준	삼성	6.39	2.49	2.57
진해수	LG	10.62	4.14	2.57
김진영	한화	9.33	3.67	2.55
이용찬	두산	5.06	2.03	2.5
브리검	키움	8.83	3.53	2.5
김원중	롯데	8.65	3.49	2.48
장민재	한화	5.02	2.04	2.46
김민규	두산	9.11	3.71	2.45
이승진	두산	9.47	3.86	2.45
라이블리	삼성	7.63	3.13	2.44
뷰캐넌	삼성	6.23	2.58	2.42
홍정우	삼성	8.7	3.6	2.42
샘슨	롯데	6.02	2.49	2.42
안우진	키움	10.25	4.25	2.41
최채흥	삼성	7.58	3.14	2.41
쿠에바스	KT	6.27	2.62	2.39
최준용	롯데	7.89	3.34	2.36
이정용	LG	8.74	3.71	2.36
홍성민	NC	4.85	2.08	2.33
최영환	롯데	6.3	2.7	2.33
양현종	KIA	7.78	3.34	2.33
서폴드	한화	5.29	2.29	2.31
박세웅	롯데	6.6	2.87	2.3
김상수	키움	8.42	3.68	2.29
이보근	KT	5.21	2.31	2.25
데스파이네	KT	6.59	2.95	2.24
구승민	롯데	8.65	3.88	2.23
김재웅	키움	7.69	3.47	2.22
가뇽	KIA	7.95	3.61	2.2
정수민	SK	6.32	2.87	2.2
오현택	롯데	4.25	2	2.13
임찬규	LG	8.41	3.96	2.12
김민수	KT	5.49	2.61	2.1
이승현	삼성	8.61	4.14	2.08
원종현	NC	6.47	3.16	2.05
소형준	KT	6.23	3.05	2.04
정우영	LG	7.08	3.48	2.03
이현승	두산	8.93	4.46	2
임규빈	키움	4.78	2.39	2
김지용	LG	9.82	4.91	2
문광은	LG	9	4.5	2
신민혁	NC	5.57	2.79	2
이승헌	NC	9	4.5	2
금민철	KT	7.71	3.86	2
신정락	한화	10.5	5.25	2
라이트	NC	7.14	3.6	1.98
박치국	두산	8.29	4.27	1.94
양현	키움	4.95	2.55	1.94
서준원	롯데	5.02	2.59	1.94
노경은	롯데	5.21	2.71	1.93
임창민	NC	10.51	5.5	1.91
임정호	NC	8.34	4.39	1.9
박민호	SK	6.23	3.29	1.89
안영명	한화	6.7	3.55	1.89
송명기	NC	7.39	4	1.85
이승호	키움	5.54	3.03	1.83
차우찬	LG	7.17	3.94	1.82
김태훈	키움	5.63	3.09	1.82
최원태	키움	5.48	3.03	1.81
송승준	롯데	9.12	5.11	1.79
권혁	두산	8.22	4.7	1.75
김성민	키움	7.99	4.56	1.75
서동민	SK	7.56	4.32	1.75
류희운	KT	7.56	4.32	1.75
이창재	KT	7.88	4.5	1.75
이인복	롯데	4.17	2.38	1.75
채드벨	한화	7.13	4.09	1.74
김민우	한화	8.41	4.88	1.72
박종훈	SK	7.67	4.46	1.72
박진우	NC	4.6	2.72	1.69
이준영	KIA	8.37	4.94	1.69
이영준	키움	7.2	4.28	1.68
윤대경	한화	7.41	4.41	1.68
권휘	두산	6.59	3.95	1.67
김종수	한화	7.74	4.68	1.65
김대우	롯데	7.84	4.74	1.65
서진용	SK	8.26	5.02	1.65
장필준	삼성	6.5	4	1.63
김세현	SK	7.5	4.71	1.59
김윤식	LG	5.05	3.19	1.58
장시환	한화	7.8	5.02	1.55
정영일	SK	6.56	4.24	1.55
강동연	NC	6.38	4.13	1.55
윤명준	두산	4.39	2.85	1.54
조성운	키움	5.8	3.8	1.53
이민호	LG	6.17	4.05	1.52
조영우	SK	4.44	2.92	1.52
오원석	SK	8.38	5.59	1.5
킹엄	SK	5.06	3.38	1.5
최성훈	LG	6.48	4.32	1.5
이호중	NC	6.23	4.15	1.5
조현우	KT	6.36	4.24	1.5
서덕원	KIA	4.26	2.84	1.5
이현호	한화	8.8	5.87	1.5
장원삼	롯데	3.97	2.65	1.5
김건태	NC	9.51	6.43	1.48
송은범	LG	4.5	3.05	1.47
진명호	롯데	9.19	6.32	1.45
최지광	삼성	9.14	6.29	1.45
유희관	두산	3.7	2.57	1.44
박종기	두산	6.92	4.85	1.43
이민우	KIA	5.69	3.99	1.43
김대우	삼성	4.29	3.01	1.42
이재학	NC	6.06	4.27	1.42
채지선	두산	9.27	6.55	1.42
김강률	두산	9	6.43	1.4
원태인	삼성	5.01	3.6	1.39
김선기	키움	4.5	3.27	1.38
강윤구	NC	6.43	4.71	1.36
고영창	KIA	3.57	2.64	1.35
정해영	KIA	7.51	5.63	1.33
양창섭	삼성	5.4	4.05	1.33
강동호	롯데	6.55	4.91	1.33
김윤수	삼성	6.36	4.81	1.32
유원상	KT	5.2	3.94	1.32
김범수	한화	9	6.87	1.31
이영하	두산	5.8	4.5	1.29
배민서	NC	6.08	4.73	1.29
전유수	KT	5.32	4.14	1.29
김기훈	KIA	6.75	5.37	1.26
하재훈	SK	6.92	5.54	1.25
핀토	SK	6.22	5	1.24
송윤준	한화	6.26	5.09	1.23
김대현	LG	7.79	6.4	1.22
황영국	한화	7.91	6.52	1.21
박정수	NC	7.91	6.55	1.21
양기현	키움	4.63	3.86	1.2
손동현	KT	5.31	4.43	1.2
