//타자정보
//선수명	팀명	SLG	OBP	OPS

홍창기	LG	0.408	0.456	0.864
정은원	한화	0.384	0.407	0.791
강백호	KT	0.521	0.45	0.971
추신수	SSG	0.451	0.409	0.86
최정	SSG	0.562	0.41	0.972
김재환	두산	0.501	0.382	0.883
김현수	LG	0.435	0.376	0.811
조용호	KT	0.273	0.349	0.622
노시환	한화	0.466	0.386	0.852
최재훈	한화	0.387	0.405	0.792
이용규	키움	0.373	0.392	0.765
양의지	NC	0.581	0.414	0.995
서건창	LG	0.343	0.35	0.693
박해민	삼성	0.377	0.383	0.76
정훈	롯데	0.438	0.38	0.818
최형우	KIA	0.375	0.354	0.729
페르난데스	두산	0.443	0.391	0.834
배정대	KT	0.378	0.353	0.731
김혜성	키움	0.367	0.372	0.739
김인태	두산	0.378	0.373	0.751
이정후	키움	0.522	0.438	0.96
최원준	KIA	0.372	0.37	0.742
터커	KIA	0.35	0.334	0.684
손아섭	롯데	0.397	0.39	0.787
한동희	롯데	0.443	0.364	0.807
장성우	KT	0.374	0.337	0.711
이원석	삼성	0.346	0.341	0.687
한유섬	SSG	0.534	0.373	0.907
로맥	SSG	0.425	0.34	0.765
마차도	롯데	0.361	0.359	0.72
오재일	삼성	0.512	0.366	0.878
알테어	NC	0.514	0.358	0.872
피렐라	삼성	0.495	0.359	0.854
김선빈	KIA	0.401	0.375	0.776
오지환	LG	0.356	0.335	0.691
박찬호	KIA	0.313	0.331	0.644
박동원	키움	0.46	0.342	0.802
전준우	롯데	0.469	0.405	0.874
최주환	SSG	0.429	0.353	0.782
안치홍	롯데	0.458	0.379	0.837
김상수	삼성	0.301	0.32	0.621
최지훈	SSG	0.362	0.342	0.704
하주석	한화	0.392	0.346	0.738
박건우	두산	0.441	0.4	0.841
박성한	SSG	0.388	0.377	0.765
구자욱	삼성	0.519	0.361	0.88
박병호	키움	0.43	0.323	0.753
황재균	KT	0.402	0.358	0.76
문보경	LG	0.363	0.337	0.7
강민호	삼성	0.478	0.361	0.839
박계범	두산	0.357	0.368	0.725
유한준	KT	0.418	0.409	0.827
노진혁	NC	0.427	0.374	0.801
양석환	두산	0.49	0.337	0.827
김민성	LG	0.35	0.313	0.663
류지혁	KIA	0.33	0.385	0.715
김민식	KIA	0.288	0.336	0.624
나성범	NC	0.509	0.335	0.844
채은성	LG	0.452	0.359	0.811
이명기	NC	0.387	0.41	0.797
강진성	NC	0.35	0.33	0.68
허경민	두산	0.365	0.338	0.703
이창진	KIA	0.285	0.308	0.593
장운호	한화	0.27	0.332	0.602
박경수	KT	0.347	0.301	0.648
이형종	LG	0.389	0.332	0.721
김웅빈	키움	0.384	0.357	0.741
이대호	롯데	0.448	0.342	0.79
김헌곤	삼성	0.356	0.355	0.711
김태연	한화	0.42	0.418	0.838
전병우	키움	0.308	0.319	0.627
심우준	KT	0.371	0.323	0.694
권희동	NC	0.466	0.406	0.872
김재호	두산	0.261	0.306	0.567
정수빈	두산	0.374	0.326	0.7
강한울	삼성	0.283	0.341	0.624
김성현	SSG	0.422	0.356	0.778
이재원	SSG	0.362	0.358	0.72
이성곤	한화	0.374	0.377	0.751
송우현	키움	0.416	0.37	0.786
한승택	KIA	0.296	0.321	0.617
박석민	NC	0.48	0.361	0.841
박준영	NC	0.337	0.301	0.638
오윤석	KT	0.384	0.358	0.742
안중열	롯데	0.344	0.37	0.714
김지찬	삼성	0.304	0.331	0.635
호잉	KT	0.417	0.313	0.73
추재현	롯데	0.366	0.336	0.702
유강남	LG	0.375	0.317	0.692
이천웅	LG	0.271	0.305	0.576
송성문	키움	0.371	0.32	0.691
김강민	SSG	0.404	0.327	0.731
정주현	LG	0.337	0.327	0.664
최인호	한화	0.338	0.329	0.667
김태진	KIA	0.341	0.314	0.655
박민우	NC	0.339	0.36	0.699
강승호	두산	0.375	0.301	0.676
박세혁	두산	0.27	0.296	0.566
신본기	KT	0.299	0.333	0.632
알몬테	KT	0.404	0.336	0.74
김태군	NC	0.341	0.311	0.652
김민혁	KT	0.395	0.397	0.792
크레익	키움	0.383	0.32	0.703
장승현	두산	0.322	0.332	0.654
이지영	키움	0.305	0.328	0.633
이정훈	KIA	0.341	0.358	0.699
최정원	NC	0.321	0.35	0.671
권동진	KT	0.373	0.412	0.785
김준태	KT	0.328	0.295	0.623
라모스	LG	0.422	0.317	0.739
황대인	KIA	0.418	0.283	0.701
김민수	롯데	0.352	0.312	0.664
이성열	한화	0.328	0.314	0.642
김주원	NC	0.386	0.316	0.702
정현	NC	0.282	0.355	0.637
김민하	한화	0.287	0.345	0.632
노수광	한화	0.331	0.309	0.64
페레즈	한화	0.411	0.321	0.732
안재석	두산	0.345	0.317	0.662
조수행	두산	0.369	0.417	0.786
김호령	KIA	0.315	0.322	0.637
고종욱	SSG	0.328	0.323	0.651
김찬형	SSG	0.326	0.329	0.655
힐리	한화	0.394	0.306	0.7
이영빈	LG	0.345	0.323	0.668
정진호	한화	0.29	0.301	0.591
이재원	LG	0.383	0.316	0.699
나지완	KIA	0.173	0.324	0.497
나승엽	롯데	0.274	0.289	0.563
배성근	롯데	0.28	0.308	0.588
지시완	롯데	0.422	0.319	0.741
이학주	삼성	0.335	0.276	0.611
오태곤	SSG	0.426	0.313	0.739
김병희	KT	0.635	0.456	1.091
김휘집	키움	0.186	0.279	0.465
이우성	KIA	0.259	0.303	0.562
조한민	한화	0.394	0.278	0.672
허관회	한화	0.19	0.329	0.519
송민섭	KT	0.229	0.383	0.612
예진원	키움	0.254	0.248	0.502
이흥련	SSG	0.331	0.326	0.657
임종찬	한화	0.214	0.229	0.443
전민수	NC	0.378	0.33	0.708
최용제	두산	0.308	0.356	0.664
보어	LG	0.28	0.265	0.545
신용수	롯데	0.361	0.336	0.697
정의윤	SSG	0.37	0.275	0.645
백용환	한화	0.291	0.26	0.551
정진기	NC	0.358	0.265	0.623
박준태	키움	0.261	0.362	0.623
박정우	KIA	0.208	0.35	0.558
김재유	롯데	0.351	0.34	0.691
김동엽	삼성	0.351	0.286	0.637
김용의	LG	0.222	0.351	0.573
박주홍	키움	0.149	0.25	0.399
변상권	키움	0.321	0.275	0.596
최정용	KIA	0.212	0.306	0.518
김호재	삼성	0.253	0.322	0.575
박승규	삼성	0.333	0.299	0.632
강상원	한화	0.108	0.298	0.406
박정현	한화	0.234	0.256	0.49
김기환	NC	0.35	0.25	0.6
문상철	KT	0.344	0.292	0.636
허도환	KT	0.39	0.339	0.729
